بقوائمها	قائِمَة
بقنو	قُنْو
بقمار	قِمار
بقليله	قَلِيل
بقلوبهم	قَلُوب,قَلْب
بقفاي	قَفاً
بقعا	بُقْعَة,بَقَّع
بقطرات	قَطْرَة,قِطار
بقطاف	قِطاف
بقضاءين	NOTFOUND
بقصعتي	قَصْعَة
بقصعتها	قَصْعَة
بقصتها	قِصَّة,قَصَّة
بقسينا	قَسِيّ,قَسّ
بقرني	قِرْن,بَقَر,قَرْنِيّ,قَرْن,قُرْنَة
بقرن	قِرْن,بَقَر,قَرْن,قُرْنَة
بقراءته	قِراءَة
بقتلهن	قَتْل
بقتال	قَتّال,قاتِل,قِتال
بقايا	بَقِيَّة
بقارورة	قارُورَة
بقارعة	قارِع,قارِعَة
بقاربها	قارِب
بقادر	قادِر
بقاتل	قاتِل
بقائي	بَقاء
بقاؤهم	بَقاء
بفم	فَم
بفقيه	فَقِيه
بفظ	فَظّ
بفطره	فِطْرَة,فِطْر,فَطْر,فُطْر
بفضلها	فَضْل
بفرسي	فَرَس,فارِسِيّ
بفراقها	فِراق
بفراقك	فِراق
بفخذيها	فَخْذ,فَخْذِيّ
بفتي	فَتِيّ,فَتَى
بفتاه	فَتاة,فَتَى
بفاتنين	فاتِن
بغيقة	NOTFOUND
بغيضك	غَيْض,بَغِيض
بغنمهما	غُنْم,غَنَم
بغضب	غَضِب,غَضَب
بغضا	بَغِض-َ,بَغَّض,بَغُض,غَضَى,بُغْض
بغريم	غَرِيم
بغايا	بَغِيّ
بعيرهما	بَعِير,عَيْر
بعوراء	أَعْوَر
بعنز	عَنْز
بعم	عَمّ
بعقلها	عِقال,عَقْل
بعقله	عِقال,عَقْل,عُقْلَة
بعقبه	عُقْب,عَقَبَة
بعفوك	عَفْو
بعفو	عَفْو
بعظمتك	عَظْمَة
بعظمائها	عَظِيم
بعضو	عُضْو
بعضهن	عَضّ,بَعْض,بَعَّض
بعصينا	عَصِيّ
بعصم	عَصْم,أَعْصَم
بعصاي	عَصاً
بعشور	عَشُور,عُشْر
بعرصتهم	عَرْصَة
بعذر	عُذْر
بعدو	عَدُوّ,عَدْو
بعدهن	عَدّ,بَعْدَ,بُعْد
بعدد	عَدَد
بعجلة	عَجَل,عَجَلَة,عِجْل
بعجزها	عَجُز,عَجْز
بعثها	بَعَث-َ,عُثّ,بَعْث
بعثتما	بَعَث-َ
بعتق	عِتْق
بظهورهما	ظُهُور
بظهورها	ظُهُور
بظهور	ظُهُور
بطونهما	بُطُون
بطول	طُول,طَوْل
بطلاقها	طَلاق
بطشتها	طَشْت,بَطَش-ُِ,بَطْشَة
بطحاء	أَبْطَح
بطبق	طَبَق
بطانا	بَطّ,بِطان
بطاعتي	طاعَة
بضلعين	ضِلْع
بضبين	NOTFOUND
بصوته	صُوَّة,بَصْوَة,صَوْت
بصل	بَصَل
بصق	بَصَق
بصعقته	NOTFOUND
بصدقتكم	صَدَقَة
بصخرة	صَخْر
بصحيفة	صَحِيفَة
بصحفة	صَحِيفَة,صَحْفَة
بصانعة	صانِع
بصالح	صالِح
بصاحبها	صاحِب
بصاحبك	صاحِب
بشيطان	شَيْطان
بشوكة	شَوْكَة,شَوْك,شَوِك
بشهاب	شِهاب
بشقتين	شَقَّة
بشقاء	شَقاء
بشفعته	شُفْعَة
بشفعة	شُفْعَة,شَفْع
بشفاعتك	شَفاعَة
بشعب	شُعْبَة,شِعْب,شَعْب
بشطنين	شَطْن
بشرها	بُشْر,بَشَر,بَشِر-َ,بَشَّر,شَرّ,بَشَر-ِ,بِشْر
بشرف	شَرَف
بشرر	شَرَر
بشراكين	NOTFOUND
بشرا	بُشْر,بَشَر,بَشِر-َ,بَشَر-ِ,بَشَّر,بِشْر
بشبع	شَبْع
بشاهدي	شاهِد
بشارفي	شارِف
بسيط	بَسِيط
بسوط	سَوْط
بسهمه	سَهْم
بسهامهم	سَهْم
بسنتين	سِنْت,سَنَة
بسلم	سُلَّم,سِلْم
بسلطان	سُلْطان
بسكين	سِكِّين
بسكري	سُكْر,سَكْران,سُكَّرِيّ,سُكَّر
بسفر	سِفْر,سُفْرَة,سَفَر
بسعد	سَعْد
بسطهن	بَسْط,بَسَّط,بَسَط,بِساط
بسطها	بَسْط,بَسَّط,بَسَط,بِساط
بسرره	سُرَّة
بسراويل	سِرْوال
بسد	سَدّ,سُدّ
بسخط	سُخْط
بسحابة	سَحابَة,سَحاب,سَحّاب
بسجل	سِجِلّ
بسجستان	NOTFOUND
بستة	بَسَّة,باس,سَتْه,سِتّ,بَسّ
بستانا	بُسْتان,بَسَّة,بَسّ
بساطه	بَساطَة,بِساط
بساطا	بِساط
بسؤر	سُؤْر
بسؤال	سُؤال
بزينة	زَيْن,زِينَة,زَيْنَة
بزيادة	زِيادَة
بزوجي	زَوْج,زَوْجِيّ
بزوج	زَوْج
بزمامها	زِمام
بزمامه	زِمام
بزائد	زائِد
بريه	رِئَة,بَرِّيَّة,بَرِّيّ,بَرِيَّة,رَيّ
بريق	رَيِّق,إِبْرِيق,رِيق,بَرِيق
بريحه	رَيِّح,رِيحَة,رِيح
برياض	رَوْضَة,رِياض
بري	بُرّ,بِرّ,بَرّ,بَرَى,بَرَى-ِ,بَرِّيّ,رَيّ
برودس	رُودُس
بروثة	رَوْث
برنة	رَنَّة
برمتها	بَرَّم,بُرْمَة,رُمَّة,رِمَّة,بَرَم
برمانتين	رُمّان,رُمّانَة
بركية	NOTFOUND
بركعتين	رَكْعَة
بركته	بِرْكَة,بَرَكَة,رُكَّة,بَرَّك,رِكَّة,بَرَك
بركبتيه	رُكْبَة
بركبة	رِكاب,رُكْبَة,رَكْب
بركب	رِكاب,رُكْبَة,رَكْب
برق	رَقّ,رِقّ,بَرَق,بَرْق
برضف	NOTFOUND
برضخ	رَضْخ
برسولك	رَسُول
برزين	رَزِين
برزقه	رِزْق
برذعة	بَرْذَعَة
بردي	بُرْد,بَرَد,بَرَدَى,رَدَى,رَدّ,بَرْدِيّ,بَرْد
برداه	بَرَد,بَرَّد,رَدَى
بردائي	بَرْدِيَّة,رِداء
برحوا	بَرَّح,بَرِح
برحاه	بَرَّح,بَرِح,رَحَى
برجمها	رُجْمَة,رَجْم
برجلي	رَجُل,بَرْجَل,رِجْل
برجعتها	رَجْعَة
بربهم	رُبّ,رَبّ
بربها	رُبّ,رَبّ
بربكم	رُبّ,رَبّ
بربع	رَبْع,رُبْع
براية	بَرّايَة,رايَة,رَأْي
براي	راي,بَرَى,رَأْي
براويتها	راوِي
براعيه	راعِي
براحلة	راحِل,راحِلَة
براءتك	بَراءَة
بذيولهن	ذَيْل
بذهبة	ذَهَب
بذريرة	ذُرَيْرَة,ذَرِيرَة
بذا	بِذا,بَذّ
بديني	دِين,بَدِين,دَيِّن,دِينِيّ,دَيْن
بدينها	بَدِين,دِين,دَيِّن,دَيْن
بدينارين	دِينار
بدو	بَدَوِيّ
بدني	دَنِيّ,بَدِين,بَدَن,بَدّ,أَدْنَى,بَدَنِيّ
بدننا	بَدِين,بَدَن,باد-ِ
بدنك	بَدِين,بَدَن,باد-ِ
بدمع	دَمْع
بدلنا	دَلّ,بَدْلَة,بَدَل,بَدَّل
بدلت	بَدَل,بَدَّل
بدفعه	دَفْع,دُفْعَة,دَفْعَة
بدف	دَفّ,دُفّ
بدرجاتهم	دَرَجَة
بداني	دانِي,بَدّ
بداته	بَداة,بَدَوِيّ
بخياركم	خَيْر,خِيار
بخلوا	بَخِل-َ,بَخُل
بخطيئته	خَطِيئَة
بخطاياهم	خَطِيئَة
بخصلة	خَصْلَة,خُصْلَة
بخروجهما	خُرُوج
بخرصه	خِرْص
بخت	بَخّ,باخ,بَخا,بَخْت
بخبرنا	خُبَر,خَبَر
بخامس	خامِس
بخادم	خادِم
بحين	حِين,حِينَ,حَيْن
بحية	حَيّ,حَيَّة
بحميل	حَمِيل
بحضرموت	حَضْرَمَوْت
بحصن	حِصْن,حِصان
بحسنات	حَسَنَة
بحسبك	حَسَب,حَسْب
بحزمة	حَزْم,حُزْمَة,حِزام
بحزم	حُزْمَة,حَزْم,حِزام
بحرير	حَرِير
بحربتي	حَرْبَة
بحذائه	حِذاء,حَذّاء,حِذاءَ
بحجارة	حَجّار,حَجَر
بحتا	بَحّ,بَحْت
بحبشي	حَبَشِيّ,حَبَش
بحب	حَبّ,حُبّ
بحاجته	حاجَة
بجير	جِير
بجواثي	NOTFOUND
بجهد	جُهْد,جَهْد
بجنبات	جَنْبَة
بجنازته	جِنازَة
بجناحه	جُناح,جَناح
بجلوس	جُلُوس
بجلده	جِلْد,جَلَد,جَلْد,جَلْدَة
بجلاميد	جُلْمُود
بجلالك	جَلال
بجلال	جَلال
بجعد	جَعْد
بجزور	جَزُور
بجذل	جَذِل,جَذَل,جِذْل
بجدي	جَدْي,جِدِّيّ,جَدّ,جِدّ
بجبل	جَبَل
بجبريل	جَبْرَئِيل
بجبار	جَبّار
بثوبين	ثَوْب
بثوبها	ثَوْب
بثمن	ثُمْن,ثَمَن
بثالث	ثالِث
بتمره	تَمْر
بتلة	بَتَل-ُِ,بَتَلَة,تَلَّة,تَلّ,بَتْلَة,بَتَّل
بتعوذ	NOTFOUND
بتصديقك	تَصْدِيق
بتحية	تَحِيَّة
بتحريم	تَحْرِيم
بتته	بَتَّت,بَتَّة,بَتّ
بتاركها	NOTFOUND
بتاركتهم	NOTFOUND
ببقيتها	بَقِيَّة
ببعيد	بُعَيْدَ,بَعِيد
ببعث	بَعْث
ببطنها	بَطْن
ببطنه	بِطْنَة,بَطْن
ببشارة	بِشارَة
ببسم	بَسْم
ببرمة	بَرِم,بُرْمَة
ببردين	NOTFOUND
ببخاري	بُخارِيّ,بُخار
ببحرة	بَحْر,بَحْرَة
بايهن	أَيّ,باي
بايمانهم	إِيمان,يَمِين
بايماننا	إِيمان,يَمِين
بايعهم	بايَع
بايعني	بايَع
بايعك	بايَع
بايجاف	NOTFOUND
بايات	آيَة,باي
باولات	أَوَّل
باوعيتهم	وِعاء
بانه	أَنَّة,آن,بِأَنَّ
بانفسهم	نَفْس
بانفسنا	نَفْس
بانعم	أَنْعَم,نِعْمَة
بانبيائهم	نَبِيّ
باموالكم	مال
بامرين	أَمْر,آمِر,أَمَرّ
بامرها	أَمْر,آمِر,أَمَرّ
بامره	أَمْر,إِمْرَة,آمِر,أَمَرّ
بامثال	مِثْل,مَثَل
بامتي	أُمَّة,أَمَة
بامته	أُمَّة,أَمَة
بامانة	أَمانَة,أَمان
باليوم	يَوْم
باليسير	يَسِير
بالويل	وَيْل
بالوسطي	وَسَطِيّ,أَوْسَط
بالوالد	والِد
بالنواجذ	ناجِذ
بالنهرين	نَهْر
بالنكاح	نِكاح
بالنعيمان	NOTFOUND
بالنعمان	نُعْمان
بالنطاقين	نِطاق
بالنسيئة	نَسِيئَة
بالنرد	نَرْد
بالنذر	نَذْر,نَذِير
بالنخل	نَخْل
بالنجم	نَجْم
بالناقوس	ناقُوس
بالناقة	ناقِه,ناقَة
بالميم	مِيم
بالميت	مَيِّت
بالمنذر	مُنْذِر
بالملائكة	مَلْأَك
بالمكان	مَكان
بالمصيصة	مَصِيص
بالمسالة	مَسْأَلَة
بالمزارعة	مُزارِع,مُزارَعَة
بالمريض	مَرِيض
بالمرتفع	مُرْتَفَع,مُرْتَفِع
بالمداين	NOTFOUND
بالمخمص	NOTFOUND
بالمحصب	NOTFOUND
بالمئشار	مِئْشار
باللغو	لَغْو
بالكيس	كَيْس,كِيس,أَكْيَس,كَيِّس
بالكلمات	كَلِمَة
بالكفة	كُفَّة,كِفَّة
بالكفارة	كَفّارَة
بالكعاب	كَعْب
بالكاذب	كاذِب
بالقيام	قِيام
بالقوة	قُوَّة
بالقنو	قُنْو
بالقمح	قَمْح
بالقليب	NOTFOUND
بالقز	قَزّ
بالقتال	قَتّال,قِتال,قاتِل
بالقبضة	قَبْضَة,قُبْضَة
بالقاع	قاع
بالفضل	فَضْل
بالفرس	فَرَس,فارِسِيّ
بالغني	بالَغ,غِنَى,غَنِيّ
بالغمز	غَمْز
بالغزو	غَزْو
بالغدوة	غَدْوَة,غُدْوَة
بالغتين	بالِغ
بالغابة	غابَة
بالعلامة	عَلّامَة,عَلامَة
بالعقود	عَقْد
بالعقبة	عَقَبَة
بالعصمة	عُصْمَة,عِصْمَة
بالعشر	عَشَر,عَشْر,عُشْر
بالعرجون	عُرْجُون
بالعدو	عَدُوّ,عَدْو
بالعدد	عَدَد
بالعدة	عُدَّة,عِدَّة,عِدَة
بالظهيرة	ظَهِير,ظَهِيرَة
بالطواغي	NOTFOUND
بالطاعون	طاعُون
بالطاعة	طاعَة
بالشهود	شُهُود,شاهِد
بالشعر	شِعْر,شَعْر
بالشبرم	NOTFOUND
بالسواد	سَواد
بالسهر	سَهَر,سُهَر
بالسني	سَنِيّ,سُنِّيّ,لِسان,سَنَى,أَلْسَن
بالسنتهم	لِسان
بالسنتكم	لِسان
بالسرقة	سَرِقَة,سارِق
بالسحاب	سَحاب,سَحّاب
بالسبابتين	سَبّاب
بالسانية	سانِيَة
بالساج	ساج
بالزينة	زِينَة,زَيْنَة
بالزعفران	زَعْفَران
بالريح	رَيِّح,رِيح
بالروث	رَوْث
بالركن	رُكْن
بالرقي	رُقْيَة,رُقِيّ
بالرقة	رِقَّة
بالرفاء	رَفّاء,رِفاء
بالرحمة	رَحْمَة
بالرحبة	رَحْبَة,رَحْب
بالرجم	رُجْمَة,رَجْم
بالراي	رَأْي
بالراكب	راكِب
بالدوالي	دالِيَة
بالدهناء	دَهْناء
بالدخول	دُخُول
بالدجال	دَجّال
بالدار	دار,دارّ
بالخيل	أَخْيَل,خَيْل
بالخيف	NOTFOUND
بالخلاء	خَلاء
بالخربة	خَرِب,خُرْبَة
بالخرب	خَرِب
بالحي	حَيّ,لَحْي,أَلْحَى
بالحصبة	حَصْبَة
بالحسين	حُسَيْن
بالحساء	حَساء
بالحرام	حَرام
بالحاجة	حاجَة
بالجن	جِنّ
بالجمعة	جُمْعَة
بالجرف	جُرْف,جَرْف
بالجذعتين	NOTFOUND
بالثناء	ثَناء
بالتوبة	تَوْبَة
بالتسع	تُسْع,تِسْع
بالتزويج	تَزْوِيج
بالتزوج	تَزَوُّج
بالتخفيف	تَخْفِيف
بالت	بال,بالَى
بالبوازيج	NOTFOUND
بالبهائم	بَهِيمَة
بالبساط	بِساط
بالبراق	بَرّاق,بُراق
بالبراز	بِراز
بالبحر	بَحْر
بالباءة	لَبِيب
بالاهواز	أَهْواز
بالانصاري	أَنْصارِيّ
بالانداد	نِدّ
بالانثي	أُنْثَى
بالامانة	أَمانَة
بالالوة	أَلْوَة
بالالف	آلَف,آلِف,أَلَفّ,إِلْف,أَلِف,أَلْف
بالاقرع	أَقْرَع
بالافق	أُفُق
بالاعناق	عُنْق
بالاطعمة	طَعام
بالاشراك	شَرَك,إِشْراك
بالاسقية	سِقاء
بالاجور	أَجْر
بالاتباع	تَبَع,ٱِتِّباع
بالابواب	باب
بالابهام	إِبْهام
بالابن	ٱِبْن
بالاباء	إِباء,أَب
بالا	بال,أَلّا
باكثرنا	أَكْثَر
باقبال	إِقْبال
بافواهها	فُوه
باعلاها	أَعْلَى
باطنهما	باطِن
